topic,term1,term2,score,relatedness_level
opinion polls harm the democratic process,polling,opinion polls,1.0,high
opinion polls harm the democratic process,polling organizations,bias,0.6,medium
opinion polls harm the democratic process,polling organizations,deliberation,0.1,low
opinion polls harm the democratic process,polling organizations,democratic process,0.3,low
opinion polls harm the democratic process,polling organizations,general election,0.7,high
opinion polls harm the democratic process,polling organizations,goidel,0.2,low
opinion polls harm the democratic process,polling organizations,opinion polls,1.0,high
opinion polls harm the democratic process,polling organizations,survey results,0.9,high
opinion polls harm the democratic process,polls,bias,0.5,medium
opinion polls harm the democratic process,polls,democratic process,0.9,high
opinion polls harm the democratic process,polls,election results,0.9,high
opinion polls harm the democratic process,polls,opinion polls,1.0,high
opinion polls harm the democratic process,pollster,democratic process,0.5,medium
opinion polls harm the democratic process,pollster,opinion polls,1.0,high
opinion polls harm the democratic process,pollsters,democratic process,0.6,medium
opinion polls harm the democratic process,pollsters,election results,0.5,medium
opinion polls harm the democratic process,pollsters,eta,0.0,low
opinion polls harm the democratic process,pollsters,instructor,0.0,low
opinion polls harm the democratic process,pollsters,opinion polls,1.0,high
opinion polls harm the democratic process,pollsters,research article,0.1,low
opinion polls harm the democratic process,pollsters,sampling error,0.7,high
opinion polls harm the democratic process,pollsters,silencing,0.0,low
opinion polls harm the democratic process,presidential election,democratic process,1.0,high
opinion polls harm the democratic process,presidential election,opinion polls,0.8,high
opinion polls harm the democratic process,public opinion,candidates,0.6,medium
opinion polls harm the democratic process,public opinion,democratic process,0.7,high
opinion polls harm the democratic process,public opinion,election results,0.9,high
opinion polls harm the democratic process,public opinion,majority opinion,0.9,high
opinion polls harm the democratic process,public opinion,opinion polls,1.0,high
opinion polls harm the democratic process,public opinion,presidential election,0.8,high
opinion polls harm the democratic process,push poll,cellphones,0.2,low
opinion polls harm the democratic process,push poll,democratic process,0.5,medium
opinion polls harm the democratic process,push poll,opinion polls,1.0,high
opinion polls harm the democratic process,push poll,sampling error,0.2,low
opinion polls harm the democratic process,push polling,candidates,0.4,medium
opinion polls harm the democratic process,push polling,democratic process,0.4,medium
opinion polls harm the democratic process,push polling,instructor,0.1,low
opinion polls harm the democratic process,push polling,opinion poll,1.0,high
opinion polls harm the democratic process,push polling,opinion polls,1.0,high
opinion polls harm the democratic process,push polling,opinions,0.7,high
opinion polls harm the democratic process,push polling,pollster,0.9,high
opinion polls harm the democratic process,push polling,presidential election,0.8,high
opinion polls harm the democratic process,push polling,research article,0.0,low
opinion polls harm the democratic process,push polling,silencing,0.2,low
opinion polls harm the democratic process,research article,democratic process,0.0,low
opinion polls harm the democratic process,research article,opinion polls,0.2,low
opinion polls harm the democratic process,results,deliberation,0.3,low
opinion polls harm the democratic process,results,democratic process,0.5,medium
opinion polls harm the democratic process,results,election results,0.9,high
opinion polls harm the democratic process,results,goidel,0.1,low
opinion polls harm the democratic process,results,opinion polls,1.0,high
opinion polls harm the democratic process,results,opinions,0.3,low
opinion polls harm the democratic process,results,research article,0.1,low
opinion polls harm the democratic process,results,silencing,0.1,low
opinion polls harm the democratic process,sample size,candidates,0.1,low
opinion polls harm the democratic process,sample size,democratic process,0.1,low
opinion polls harm the democratic process,sample size,eta,0.0,low
opinion polls harm the democratic process,sample size,general election,0.1,low
opinion polls harm the democratic process,sample size,opinion polls,0.9,high
opinion polls harm the democratic process,sample size,opinions,0.0,low
opinion polls harm the democratic process,sample size,silencing,0.1,low
opinion polls harm the democratic process,sample size,survey results,0.8,high
opinion polls harm the democratic process,sampling error,democratic process,0.2,low
opinion polls harm the democratic process,sampling error,opinion polls,0.8,high
opinion polls harm the democratic process,silencing,democratic process,0.2,low
opinion polls harm the democratic process,silencing,opinion polls,0.1,low
opinion polls harm the democratic process,spiral of silence,bias,0.2,low
opinion polls harm the democratic process,spiral of silence,candidates,0.0,low
opinion polls harm the democratic process,spiral of silence,democratic process,0.3,low
opinion polls harm the democratic process,spiral of silence,opinion poll,0.5,medium
opinion polls harm the democratic process,spiral of silence,opinion polls,0.4,medium
opinion polls harm the democratic process,spiral of silence,organisations include,0.0,low
opinion polls harm the democratic process,spiral of silence,presidential election,0.2,low
opinion polls harm the democratic process,spiral of silence,sampling error,0.0,low
opinion polls harm the democratic process,survey results,democratic process,0.6,medium
opinion polls harm the democratic process,survey results,opinion polls,1.0,high
opinion polls harm the democratic process,u.s presidential election,democratic process,1.0,high
opinion polls harm the democratic process,u.s presidential election,instructor,0.0,low
opinion polls harm the democratic process,u.s presidential election,opinion polls,0.8,high
opinion polls harm the democratic process,u.s presidential election,survey results,0.8,high
opinion polls harm the democratic process,uk general election,confidence interval,0.1,low
opinion polls harm the democratic process,uk general election,deliberation,0.1,low
opinion polls harm the democratic process,uk general election,democratic process,1.0,high
opinion polls harm the democratic process,uk general election,eta,0.0,low
opinion polls harm the democratic process,uk general election,opinion polls,0.7,high
opinion polls harm the democratic process,uk general election,sampling error,0.2,low
opinion polls harm the democratic process,uk general election,survey results,0.3,low
opinion polls harm the democratic process,voters,deliberation,0.1,low
opinion polls harm the democratic process,voters,democratic process,0.9,high
opinion polls harm the democratic process,voters,opinion polls,0.9,high
opinion polls harm the democratic process,voters,organisations include,0.0,low
opinion polls harm the democratic process,voters,sampling error,0.1,low
opinion polls harm the democratic process,voters,silencing,0.3,low
opinion polls harm the democratic process,willingness to speak,confidence interval,0.0,low
opinion polls harm the democratic process,willingness to speak,deliberation,0.1,low
opinion polls harm the democratic process,willingness to speak,democratic process,0.3,low
opinion polls harm the democratic process,willingness to speak,eta,0.0,low
opinion polls harm the democratic process,willingness to speak,general election,0.1,low
opinion polls harm the democratic process,willingness to speak,opinion poll,0.7,high
opinion polls harm the democratic process,willingness to speak,opinion polls,0.6,medium
opinion polls harm the democratic process,willingness to speak,pollster,0.1,low
opinion polls harm the democratic process,willingness to speak,sampling error,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,advanced maternal age,egg,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,advanced maternal age,fetuses,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,advanced maternal age,genetic screening,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,advanced maternal age,heritable diseases,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,advanced maternal age,invasive procedure,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,advanced maternal age,parents,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,advanced maternal age,performed,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,advanced maternal age,prenatal testing,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,advanced maternal age,screening test,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,advanced maternal age,trimester,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,advanced maternal age,ultrasound,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,amniocentesis,fetuses,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,amniocentesis,genetic screening,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,amniocentesis,heritable diseases,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,amniocentesis,parents,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,amniocentesis,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,disorders,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,fetuses,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,gene therapy,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,genetic screening,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,heritable diseases,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,invasive procedure,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,invasive testing,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,parents,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,prenatal testing,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,screening test,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,assisted reproductive technology,test results,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,amniocentesis,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,egg,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,fetuses,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,gene therapy,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,genetic screening,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,heritable diseases,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,invasive procedure,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,maternal,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,maternal serum,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,parents,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,performed,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,test results,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,biopsy,uterus,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,chromosomes,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,fetuses,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,gene therapy,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,genetic screening,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,heritable diseases,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,parents,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,prenatal testing,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,screening test,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,test results,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,ultrasound,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,birth defects,uterus,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,chromosomes,fetuses,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,chromosomes,genetic screening,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,chromosomes,heritable diseases,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,chromosomes,parents,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,cleavage stage biopsy,chromosomes,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,cleavage stage biopsy,egg,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,cleavage stage biopsy,fetuses,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,cleavage stage biopsy,gene therapy,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,cleavage stage biopsy,genetic screening,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,cleavage stage biopsy,heritable diseases,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,cleavage stage biopsy,maternal serum,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,cleavage stage biopsy,parents,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,cleavage stage biopsy,presymptomatic testing,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,cleavage stage biopsy,test results,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,cleavage stage biopsy,ultrasound,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,cleavage stage biopsy,uterus,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,diagnosis,amniocentesis,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,diagnosis,fetuses,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,diagnosis,genetic screening,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,diagnosis,heritable diseases,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,diagnosis,parents,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,diagnosis,performed,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,diagnosis,screening test,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,diagnosis,test results,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,diagnosis,trimester,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,disorders,fetuses,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,disorders,genetic screening,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,disorders,heritable diseases,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,disorders,parents,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,dna,fetuses,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,dna,genetic screening,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,dna,heritable diseases,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,dna,parents,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,donor eggs,fetuses,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,donor eggs,genetic screening,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,donor eggs,heritable diseases,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,donor eggs,parents,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,egg,fetuses,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,egg,genetic screening,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,egg,heritable diseases,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,egg,parents,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,dna,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,donor eggs,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,egg,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,fetuses,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,gene therapy,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,genetic screening,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,heritable diseases,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,invasive test,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,invasive testing,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,maternal,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,maternal serum,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,parents,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,performed,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,prenatal testing,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,embryo,uterus,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,embryo transfer,amniocentesis,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,embryo transfer,dna,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,embryo transfer,donor eggs,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,embryo transfer,fetuses,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,embryo transfer,genetic screening,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,embryo transfer,heritable diseases,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,embryo transfer,invasive test,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,embryo transfer,invasive testing,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,embryo transfer,parents,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,embryo transfer,screening test,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,embryo transfer,ultrasound,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,false positive rate,amniocentesis,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,false positive rate,chromosomes,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,false positive rate,donor eggs,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,false positive rate,fetuses,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,false positive rate,gene therapy,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,false positive rate,genetic screening,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,false positive rate,heritable diseases,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,false positive rate,maternal,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,false positive rate,parents,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,false positive rate,presymptomatic testing,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,false positive rate,screening test,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,gene therapy,fetuses,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,gene therapy,genetic screening,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,gene therapy,heritable diseases,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,gene therapy,parents,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,genetic,amniocentesis,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic,donor eggs,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,genetic,fetuses,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic,genetic screening,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic,heritable diseases,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic,invasive testing,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,genetic,maternal,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,genetic,parents,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic,screening test,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic,trimester,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,genetic,ultrasound,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,genetic,uterus,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,genetic test,donor eggs,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,genetic test,egg,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,genetic test,fetuses,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic test,gene therapy,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic test,genetic screening,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic test,heritable diseases,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic test,maternal serum,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic test,parents,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic test,screening test,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic test,trimester,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,genetic test,uterus,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,chromosomes,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,disorders,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,fetuses,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,gene therapy,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,genetic screening,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,heritable diseases,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,invasive procedure,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,invasive test,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,invasive testing,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,maternal serum,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,parents,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,prenatal testing,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,genetic testing,test results,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,chromosomes,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,egg,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,fetuses,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,genetic screening,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,heritable diseases,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,invasive procedure,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,invasive testing,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,maternal,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,maternal serum,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,parents,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,prenatal testing,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,presymptomatic testing,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,test results,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,ultrasound,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,human genetic engineering,uterus,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,amniocentesis,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,disorders,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,egg,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,fetuses,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,genetic screening,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,heritable diseases,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,invasive procedure,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,invasive test,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,parents,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,performed,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,prenatal testing,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,trimester,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,invasive,uterus,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,invasive procedure,fetuses,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,invasive procedure,genetic screening,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,invasive procedure,heritable diseases,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,invasive procedure,parents,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,invasive test,fetuses,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,invasive test,genetic screening,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,invasive test,heritable diseases,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,invasive test,parents,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,invasive testing,fetuses,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,invasive testing,genetic screening,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,invasive testing,heritable diseases,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,invasive testing,parents,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,ivf,egg,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,ivf,fetuses,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,ivf,genetic screening,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,ivf,heritable diseases,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,ivf,maternal,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,ivf,maternal serum,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,ivf,parents,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,ivf,trimester,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,ivf,ultrasound,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,ivf success rates,amniocentesis,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,ivf success rates,disorders,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,ivf success rates,donor eggs,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,ivf success rates,fetuses,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,ivf success rates,genetic screening,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,ivf success rates,heritable diseases,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,ivf success rates,invasive testing,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,ivf success rates,maternal serum,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,ivf success rates,parents,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,ivf success rates,prenatal testing,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,ivf success rates,presymptomatic testing,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,ivf success rates,ultrasound,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,amniocentesis,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,dna,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,egg,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,fetuses,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,genetic screening,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,heritable diseases,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,invasive testing,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,maternal,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,parents,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,performed,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,prenatal testing,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,presymptomatic testing,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,test results,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,trimester,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,liberal eugenics,ultrasound,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,amniocentesis,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,chromosomes,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,dna,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,fetuses,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,genetic screening,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,heritable diseases,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,invasive testing,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,maternal,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,parents,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,performed,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,prenatal testing,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,screening test,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth,ultrasound,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth rate,chromosomes,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth rate,fetuses,0.8,high
